"Reservoir","Site","Date","ThermistorTemp_C_surface","ThermistorTemp_C_1","ThermistorTemp_C_2","ThermistorTemp_C_3","ThermistorTemp_C_4","ThermistorTemp_C_5","ThermistorTemp_C_6","ThermistorTemp_C_7","ThermistorTemp_C_8","ThermistorTemp_C_9","RDO_mgL_5_adjusted","RDO_mgL_9_adjusted","EXODO_mgL_1","EXOChla_ugL_1"
"FCR",50,2023-01-01,3.69668509722222,3.62429185416667,3.66274445833333,3.65893568055556,3.6169801875,3.68481570138889,3.82099288888889,3.9079833125,3.95484007638889,4.02130947222222,11.3636334722222,8.10442375,NA,NA
"FCR",50,2023-01-02,3.92139004861111,3.8174736875,3.85068358333333,3.83792575694444,3.77208915972222,3.80039340277778,3.85230077777778,3.89594117361111,3.91816409722222,3.95721538888889,12.3891295833333,9.62626629861111,13.2711764705882,7.56878048780488
"FCR",50,2023-01-03,4.2755828125,4.15458039583333,4.18480335416667,4.16989515972222,4.08867847222222,4.10838839583333,4.1446780625,4.15312464583333,4.12641093055556,4.10883515972222,12.3151454861111,10.3078455902778,13.1046478873239,7.77260565492958
"FCR",50,2023-01-04,5.14205760416667,4.88767954861111,4.728291125,4.59853103472222,4.42305411805556,4.36945740972222,4.34610488194444,4.31298715277778,4.24074527083333,4.19619855555556,12.0799457638889,10.7555173402778,13.0865467625899,8.80841728776978
"FCR",50,2023-01-05,5.09042779861111,4.99863090277778,4.98288403472222,4.9199434375,4.79385220833333,4.75323456944444,4.63752461805556,4.52102230555556,4.41482434722222,4.33780602083333,12.2185741666667,11.1671241666667,13.1126573426573,7.95622377622378
"FCR",50,2023-01-06,5.11054438888889,5.04105160416667,5.06293609722222,5.03246511111111,4.93571700694444,4.91951448611111,4.90060717361111,4.80419302777778,4.70939190972222,4.60599958333333,12.2938425694444,11.3563617361111,13.0617605633803,7.53633805633803
"FCR",50,2023-01-07,5.08339936805556,5.03464163888889,5.06566993055556,5.05958339583333,4.98533247222222,5.00758566666667,5.04026345138889,5.03621692361111,4.96478709722222,4.85802393055556,12.3532741666667,11.6875544444444,13.0947222222222,7.31729166666667
"FCR",50,2023-01-08,4.82435179166667,4.79415824305556,4.86210072916667,4.8667856875,4.79928472916667,4.82482863194444,4.863138125,4.86619011805556,4.83463259722222,4.80213685416667,12.2567254166667,12.2105697222222,12.9737762237762,7.14139855944056
"FCR",50,2023-01-09,4.77447438888889,4.72227597916667,4.772910625,4.77478652777778,4.70055129861111,4.72253370138889,4.75812543055556,4.76204629166667,4.73091796527778,4.69973070833333,12.2676980555556,12.1305407638889,12.901958041958,6.83083915384615
"FCR",50,2023-01-10,4.58826863888889,4.52001903472222,4.55835103472222,4.55095121527778,4.47366521527778,4.49117784722222,4.52631902083333,4.53122725694444,4.50140717361111,4.47179729861111,12.2648547222222,12.0869574305556,12.9866666666667,6.80215277777778
"FCR",50,2023-01-11,4.43505316666667,4.38514280555556,4.43001845138889,4.42107490972222,4.3480245,4.36849821527778,4.40289261805556,4.40847903472222,4.37853830555556,4.35032772916667,12.1821570833333,12.0459231944444,12.9792307692308,6.54083915384615
"FCR",50,2023-01-12,4.49659829166667,4.42261757638889,4.46254835416667,4.45506746527778,4.38215061111111,4.40452511111111,4.44130070138889,4.44096155555556,4.40712947916667,4.37601785416667,12.1314511111111,11.7988315972222,12.9525874125874,6.70405596503497
"FCR",50,2023-01-13,4.77971473611111,4.70142397222222,4.73936685416667,4.73629481944444,4.6628936875,4.68174341666667,4.71745021527778,4.72127524305556,4.6962534375,4.66976182638889,12.2982795138889,12.0747823611111,12.9262142857143,6.5637143
"FCR",50,2023-01-14,4.35817694444444,4.32447218055556,4.38448077777778,4.39303392361111,4.32061399305556,4.343000125,4.38406299305556,4.39218539583333,4.36476192361111,4.33926711111111,12.34963375,12.1718428472222,12.9288194444444,6.15798611111111
"FCR",50,2023-01-15,3.52449303472222,3.50436434722222,3.57009434722222,3.58783611805556,3.51961261111111,3.54539293055556,3.59038216666667,3.6010105625,3.57468938888889,3.551726125,12.4216264583333,12.2484652777778,13.0311805555556,5.67451389583333
"FCR",50,2023-01-16,3.25616877083333,3.20807831944444,3.27637495833333,3.28735878472222,3.22282404166667,3.257348125,3.31476565972222,3.34175040277778,3.34103132638889,3.34727305555556,12.338651875,12.1116013194444,13.0976056338028,5.39570421830986
"FCR",50,2023-01-17,3.46744110416667,3.39279890972222,3.45085564583333,3.44954654166667,3.39483507638889,3.43832351388889,3.51130055555556,3.54310389583333,3.54288140277778,3.54545925,12.2996222222222,11.8841336805556,13.0468531468531,5.51265734265734
"FCR",50,2023-01-18,3.81010222222222,3.73221668055556,3.77063574305556,3.75267093055556,3.68300963194444,3.70296516666667,3.74957827777778,3.76017163194444,3.73829027777778,3.72113923611111,12.2136013888889,11.9462982638889,12.9821830985916,6.30338028169014
"FCR",50,2023-01-19,4.41145849305556,4.28817702777778,4.27624316666667,4.19441341666667,4.08331906944444,4.07392983333333,4.09706577083333,4.09296454861111,4.05748385416667,4.03268042361111,12.1895274305556,11.9713301388889,13.0140277777778,6.03486111111111
"FCR",50,2023-01-20,4.3470466875,4.30726811111111,4.35358355555556,4.33572809722222,4.24374745833333,4.25358251388889,4.28091361805556,4.27808625694444,4.24339881944444,4.21593680555556,12.1129452083333,11.8176018055556,12.8678321678322,6.31965034265734
"FCR",50,2023-01-21,4.39479888194444,4.35967122222222,4.42328341666667,4.425323625,4.35382753472222,4.37246215277778,4.40821515972222,4.41340866666667,4.38648514583333,4.35806689583333,12.2121194444444,12.0419552777778,12.9136805555556,6.19604167361111
"FCR",50,2023-01-22,4.25812946527778,4.2237985,4.28832240277778,4.29110711805556,4.22476720833333,4.24904604861111,4.28690247916667,4.29293992361111,4.2661660625,4.24177905555556,12.1028235416667,11.9843693055556,12.8980555555556,6.57284721527778
"FCR",50,2023-01-23,4.25203175,4.21331209027778,4.263824375,4.25589305555556,4.1819538125,4.20102279861111,4.23775352083333,4.24311525,4.21316204166667,4.18691548611111,12.0976457638889,11.9489977777778,12.8566197183099,6.83063379577465
"FCR",50,2023-01-24,4.227538125,4.13718047222222,4.15296484722222,4.12779190277778,4.04555083333333,4.06067861111111,4.09291790277778,4.09517302083333,4.06692901388889,4.04059975694444,12.2135229166667,12.0491540972222,12.9545454545455,6.15030304040404
"FCR",50,2023-01-25,4.08948745138889,4.05149495138889,4.1206338125,4.12485310416667,4.05945901388889,4.08453299305556,4.12715970138889,4.13507603472222,4.11057383333333,4.09045767361111,12.1533529166667,11.9619996527778,12.9093661971831,6.31352112676056
"FCR",50,2023-01-26,4.04828002777778,4.00649915277778,4.06928675694444,4.07073414583333,4.00365426388889,4.02961139583333,4.07287144444444,4.08279836805556,4.06091027083333,4.04006209722222,12.1352149305556,11.97538125,12.8629787234043,6.98411347517731
"FCR",50,2023-01-27,4.024217125,4.015515625,4.05730284027778,4.04475542361111,3.97272086111111,3.99193908333333,4.0329839375,4.04276272222222,4.01958561805556,4.00003346527778,12.0898611805556,11.9304760416667,12.8706293706294,6.9106993006993
"FCR",50,2023-01-28,3.91065421527778,3.8746591875,3.91473763194444,3.90464140972222,3.83709392361111,3.85777232638889,3.90314757638889,3.91366636805556,3.88915266666667,3.86712640972222,12.1788989583333,12.0972889583333,12.9424305555556,6.70465277777778
