"Reservoir","Site","Date","ThermistorTemp_C_1","ThermistorTemp_C_2","ThermistorTemp_C_3","ThermistorTemp_C_4","ThermistorTemp_C_5","ThermistorTemp_C_6","ThermistorTemp_C_7","ThermistorTemp_C_8","ThermistorTemp_C_9","ThermistorTemp_C_10","ThermistorTemp_C_11","ThermistorTemp_C_12","ThermistorTemp_C_13","RDO_mgL_6","RDO_mgL_13","EXODO_mgL_1.5","EXOChla_RFU_1.5","EXOChla_ugL_1.5"
"BVR",50,2022-01-01,NA,NA,NA,8.45781872222222,7.74520572222222,7.38601359027778,6.9832631875,6.781200125,6.60372835416667,6.54298989583333,6.48172222222222,6.46889981944444,6.42157615972222,12.69978125,11.0784317361111,NA,NA,NA
"BVR",50,2022-01-02,NA,NA,NA,9.17056722916667,9.09568295833333,8.91494511805556,8.61687652777778,7.57102965972222,7.13563624305556,6.95423928472222,6.76291698611111,6.63844617361111,6.53587828472222,12.5589471527778,11.0254345138889,NA,NA,NA
"BVR",50,2022-01-03,NA,NA,NA,8.19985834722222,8.23001053472222,8.2096225,8.11122027777778,7.89070250694444,7.42884622222222,7.342513625,7.11655783333333,7.05966735416667,6.97551677777778,12.250196875,11.3722138194444,NA,NA,NA
"BVR",50,2022-01-04,NA,NA,NA,6.71619580555556,6.6596941875,6.65071909027778,6.62276985416667,6.62415176388889,6.54932713194444,6.52353901388889,6.46401695833333,6.43901288194444,6.37165975694444,11.9347175694444,11.812279375,NA,NA,NA
"BVR",50,2022-01-05,NA,NA,NA,6.16854176388889,6.17280702083333,6.17613069444444,6.16200125,6.17483091666667,6.12384849305556,6.1380854375,6.10299634027778,6.09284479166667,6.02574936805556,11.9776384722222,11.808905625,NA,NA,NA
"BVR",50,2022-01-06,NA,NA,NA,5.98894092361111,5.979766375,5.97169635416667,5.95612608333333,5.95463519444444,5.90562577083333,5.92760121527778,5.91442416666667,5.92728714583333,5.8886748125,12.2333884027778,12.1394257638889,NA,NA,NA
"BVR",50,2022-01-07,NA,NA,NA,5.29601474305556,5.31768076388889,5.30447064583333,5.320903875,5.33060916666667,5.28720045833333,5.31203266666667,5.29935027777778,5.31175801388889,5.27395984722222,12.3385627777778,12.3485703472222,NA,NA,NA
"BVR",50,2022-01-08,NA,NA,NA,4.52222686805556,4.50783665277778,4.53198002777778,4.48685663194444,4.49867202777778,4.44906650694444,4.47072152083333,4.452102375,4.45464214583333,4.40640189583333,12.4417171527778,12.4340133333333,NA,NA,NA
"BVR",50,2022-01-09,NA,NA,NA,4.30124552083333,4.31673186111111,4.33959004166667,4.30546586111111,4.32331827083333,4.27876465277778,4.303883375,4.28618974305556,4.29674755555556,4.25698891666667,12.4515638194444,12.4121181944444,NA,NA,NA
"BVR",50,2022-01-10,NA,NA,NA,3.96946711111111,3.98754917361111,3.96729145833333,3.99181911805556,4.00730273611111,3.96847275,3.99725442361111,3.98931560416667,4.00893140277778,3.97328604166667,12.7845372222222,12.7828105555556,NA,NA,NA
"BVR",50,2022-01-11,NA,NA,NA,3.21918736111111,3.29854766666667,3.32443907638889,3.32192348611111,3.33945481944444,3.30290047222222,3.33825972916667,3.33518259722222,3.36422299305556,3.34210939583333,13.0029847916667,12.9760515277778,NA,NA,NA
"BVR",50,2022-01-12,NA,NA,NA,2.97089802083333,3.32631170833333,3.43388890972222,3.43510175,3.47712636111111,3.45491446527778,3.49986835416667,3.51197280555556,3.54260588888889,3.53212348611111,13.0890551388889,12.8410609722222,NA,NA,NA
"BVR",50,2022-01-13,NA,NA,NA,3.20732044444444,3.21870377083333,3.23714376388889,3.23283336805556,3.25290334722222,3.21720624305556,3.25055136111111,3.24449809722222,3.27458270138889,3.26580511805556,13.1663334027778,13.1455636805556,NA,NA,NA
"BVR",50,2022-01-14,NA,NA,NA,3.18214350694444,3.18877346527778,3.1676700625,3.19145705555556,3.20732195833333,3.17045419444444,3.20287063194444,3.19561932638889,3.2166355625,3.18664861805556,13.238334375,13.2204500694444,NA,NA,NA
"BVR",50,2022-01-15,NA,NA,NA,3.05231030555556,3.11275707638889,3.12932626388889,3.13727777083333,3.15895539583333,3.12732650694444,3.16672106944444,3.17086535416667,3.20598741666667,3.18911209722222,13.2142034722222,13.1154181944444,NA,NA,NA
"BVR",50,2022-01-16,NA,NA,NA,2.68167324305556,2.97525063888889,3.05400275,3.09056147222222,3.12544222916667,3.10179659027778,3.1488950625,3.16411201388889,3.2163059375,3.22694795138889,13.1725585416667,12.8777163194444,NA,NA,NA
"BVR",50,2022-01-17,NA,NA,NA,2.05037748611111,2.18069985416667,2.19469153472222,2.23465215277778,2.26740938888889,2.24175938194444,2.28994389583333,2.31267817361111,2.3706849375,2.38539249305556,13.2563255555556,13.1157905555556,NA,NA,NA
"BVR",50,2022-01-18,NA,NA,NA,1.74801195833333,1.89618896527778,1.92516284027778,1.99457191666667,2.07301525,2.13827515972222,2.29394726388889,2.46252460416667,2.59778574305556,2.61751534027778,13.3818768055556,12.7377628472222,NA,NA,NA
"BVR",50,2022-01-19,NA,NA,NA,1.42327529305556,2.346342,2.60839861805556,2.62409271527778,2.70059624305556,2.72423290972222,2.88264036805556,3.01877209027778,3.14619252083333,3.19061951388889,13.2126836111111,11.7257252777778,NA,NA,NA
"BVR",50,2022-01-20,NA,NA,NA,2.1346935625,2.39961404861111,2.42612134722222,2.4478326875,2.482812,2.48962353472222,2.58579033333333,2.63668183333333,2.70078247222222,2.70689152083333,13.3950977083333,12.5295259722222,NA,NA,NA
